ECDS_UniqueID,Sort1,Sort2,Sort3,ECDS_Group1,ECDS_Group2,ECDS_Group3,ECDS_Description,ECDS_SearchTerms,SNOMED_Code,Flag_Injury,Flag_NotifiableDisease,Flag_Male,Flag_Female,Flag_Allergy,Flag_SDEC,Flag_ADS,Notes,ICD10_Mapping
UEC04DIA1111511000,11,11,51,Soft tissue inj / wound,Wound : lac / incised / bite,Shoulder,Open wound : shoulder,wound lac incised bite shoulder laceration neck thorax trunk,125645008,1,0,1,1,0,0,1,,S41.0
UEC04DIA1111531000,11,11,53,Soft tissue inj / wound,Wound : lac / incised / bite,Upper arm,Open wound : upper arm,wound lac incised bite upper arm laceration forearm,125648005,1,0,1,1,0,0,1,,S41.1
UEC04DIA1111551000,11,11,55,Soft tissue inj / wound,Wound : lac / incised / bite,Elbow,Open wound : elbow,wound lac incised bite forearm laceration elbow,125650002,1,0,1,1,0,0,1,,S51.0
UEC04DIA1111571000,11,11,57,Soft tissue inj / wound,Wound : lac / incised / bite,Forearm,Open wound : forearm,wound lac incised bite forearm laceration wrist arm,125649002,1,0,1,1,0,0,1,,S51.9
UEC04DIA1111591000,11,11,59,Soft tissue inj / wound,Wound : lac / incised / bite,Wrist,Open wound : wrist,wound lac incised bite hand laceration finger thumb,125651003,1,0,1,1,0,0,1,New code introduced July 2021,S61.9
UEC04DIA1111611000,11,11,61,Soft tissue inj / wound,Wound : lac / incised / bite,Hand,Open wound : hand,wound lac incised bite hand laceration finger thumb,125652005,1,0,1,1,0,0,1,,S61.9
UEC04DIA1111641000,11,11,64,Soft tissue inj / wound,Wound : lac / incised / bite,Thumb,Open wound : thumb,wound lac incised bite thumb laceration finger tip,125654006,1,0,1,1,0,0,1,,S61.0
UEC04DIA1111681000,11,11,68,Soft tissue inj / wound,Wound : lac / incised / bite,Finger,Open wound : finger,wound lac incised bite finger laceration thumb tip,125653000,1,0,1,1,0,0,1,,S61.0
UEC04DIA1111791000,11,11,79,Soft tissue inj / wound,Wound : lac / incised / bite,Upper leg,Open wound : upper leg,wound lac incised bite thigh laceration groin leg femur,125659001,1,0,1,1,0,0,1,,S71.1
UEC04DIA1111831000,11,11,83,Soft tissue inj / wound,Wound : lac / incised / bite,Knee,Open wound : knee,wound lac incised bite knee laceration patella kneecap,125660006,1,0,1,1,0,0,1,,S81.0
UEC04DIA1111851000,11,11,85,Soft tissue inj / wound,Wound : lac / incised / bite,Lower leg,Open wound : lower leg,wound lac incised bite lower leg laceration ankle,125661005,1,0,1,1,0,0,1,,S81.9
UEC04DIA1111871000,11,11,87,Soft tissue inj / wound,Wound : lac / incised / bite,Foot,Open wound : foot,wound lac incised bite foot laceration toe,125663008,1,0,1,1,0,0,1,,S91.3
UEC04DIA1111891000,11,11,89,Soft tissue inj / wound,Wound : lac / incised / bite,Toe,Open wound : toe,wound lac incised bite toe laceration foot,125664002,1,0,1,1,0,0,1,,S91.1
UEC04DIA1121111000,11,21,11,Soft tissue inj / wound,Abrasion,Head,Abrasion : head,abrasion head face soft tissue injury,210989006,1,0,1,1,0,0,1,New code introduced July 2021,S00.9
UEC04DIA1121131000,11,21,13,Soft tissue inj / wound,Abrasion,Ear,Abrasion : ear,abrasion pinna ear soft tissue injury,283051009,1,0,1,1,0,0,1,New code introduced July 2021,S00.4
UEC04DIA1121151000,11,21,15,Soft tissue inj / wound,Abrasion,Nose,Abrasion : nose,abrasion nose soft tissue injury,283052002,1,0,1,1,0,0,1,New code introduced July 2021,S00.3
UEC04DIA1121211000,11,21,21,Soft tissue inj / wound,Abrasion,Lip,Abrasion : lip,abrasion face head soft tissue injury,110167007,1,0,1,1,0,0,1,New code introduced July 2021,S00.5
UEC04DIA1121231000,11,21,23,Soft tissue inj / wound,Abrasion,Mouth,Abrasion : mouth,abrasion tongue mouth face head soft tissue injury,110151001,1,0,1,1,0,0,1,New code introduced July 2021,S00.5
UEC04DIA1121291000,11,21,29,Soft tissue inj / wound,Abrasion,Face,Abrasion : face,abrasion face head soft tissue injury cheek forehead chin,210987008,1,0,1,1,0,0,1,New code introduced July 2021,S00.9
UEC04DIA1121311000,11,21,31,Soft tissue inj / wound,Abrasion,Neck,Abrasion : neck,abrasion neck throat whiplash head soft tissue injury neck vertebral,283055000,1,0,1,1,0,0,1,New code introduced July 2021,S10.9
UEC04DIA1121351000,11,21,35,Soft tissue inj / wound,Abrasion,Chest,Abrasion : chest,abrasion thorax back trunk soft tissue injury,211039006,1,0,1,1,0,0,1,New code introduced July 2021,S20.3
UEC04DIA1121371000,11,21,37,Soft tissue inj / wound,Abrasion,Back,Abrasion : back,abrasion back thorax trunk soft tissue injury,211042000,1,0,1,1,0,0,1,New code introduced July 2021,S30.9
UEC04DIA1121411000,11,21,41,Soft tissue inj / wound,Abrasion,Abdomen,Abrasion : abdomen,abrasion abdomen trunk soft tissue injury,211041007,1,0,1,1,0,0,1,New code introduced July 2021,S30.8
UEC04DIA1121451000,11,21,45,Soft tissue inj / wound,Abrasion,Genitals,Abrasion : genitals,abrasion pelvic groin perineum penis vagina vulva testes balls testis soft tissue injury,283061002,1,0,1,1,0,0,1,New code introduced July 2021,S30.8
UEC04DIA1121471000,11,21,47,Soft tissue inj / wound,Abrasion,Pelvic region,Abrasion : pelvic region,abrasion pelvic groin perineum penis vagina vulva testes balls testis soft tissue injury,283060001,1,0,1,1,0,0,1,New code introduced July 2021,S30.8
UEC04DIA1121511000,11,21,51,Soft tissue inj / wound,Abrasion,Shoulder,Abrasion : shoulder,abrasion shoulder neck thorax trunk soft tissue injury,211189001,1,0,1,1,0,0,1,New code introduced July 2021,S40.9
UEC04DIA1121531000,11,21,53,Soft tissue inj / wound,Abrasion,Upper arm,Abrasion : upper arm,abrasion upper arm soft tissue injury,211192002,1,0,1,1,0,0,1,New code introduced July 2021,S40.9
UEC04DIA1121551000,11,21,55,Soft tissue inj / wound,Abrasion,Elbow,Abrasion : elbow,abrasion elbow olecranon soft tissue injury,211251003,1,0,1,1,0,0,1,New code introduced July 2021,S50.9
UEC04DIA1121571000,11,21,57,Soft tissue inj / wound,Abrasion,Forearm,Abrasion : forearm,abrasion forearm arm soft tissue injury,211252005,1,0,1,1,0,0,1,New code introduced July 2021,S50.9
UEC04DIA1121591000,11,21,59,Soft tissue inj / wound,Abrasion,Wrist,Abrasion : wrist,abrasion hand wrist soft tissue injury,283058003,1,0,1,1,0,0,1,New code introduced July 2021,S60.9
UEC04DIA1121611000,11,21,61,Soft tissue inj / wound,Abrasion,Hand,Abrasion : hand,abrasion hand wrist soft tissue injury,283059006,1,0,1,1,0,0,1,New code introduced July 2021,S60.9
UEC04DIA1121641000,11,21,64,Soft tissue inj / wound,Abrasion,Thumb,Abrasion : thumb,abrasion thumb soft tissue injury,211318009,1,0,1,1,0,0,1,New code introduced July 2021,S60.9
UEC04DIA1121681000,11,21,68,Soft tissue inj / wound,Abrasion,Finger,Abrasion : finger,abrasion finger soft tissue injury,211317004,1,0,1,1,0,0,1,New code introduced July 2021,S60.9
UEC04DIA1121751000,11,21,75,Soft tissue inj / wound,Abrasion,Upper leg,Abrasion : upper leg,abrasion thigh soft tissue injury,211331004,1,0,1,1,0,0,1,New code introduced July 2021,S70.9
UEC04DIA1121791000,11,21,79,Soft tissue inj / wound,Abrasion,Knee,Abrasion : knee,abrasion knee soft tissue injury,211332006,1,0,1,1,0,0,1,New code introduced July 2021,S80.9
UEC04DIA1121831000,11,21,83,Soft tissue inj / wound,Abrasion,Lower leg,Abrasion : lower leg,abrasion lower leg soft tissue injury,211333001,1,0,1,1,0,0,1,New code introduced July 2021,S80.9
UEC04DIA1121851000,11,21,85,Soft tissue inj / wound,Abrasion,Ankle,Abrasion : ankle,abrasion ankle foot soft tissue injury,211334007,1,0,1,1,0,0,1,New code introduced July 2021,S90.9
UEC04DIA1121871000,11,21,87,Soft tissue inj / wound,Abrasion,Foot,Abrasion : foot,abrasion ankle foot soft tissue injury,211402004,1,0,1,1,0,0,1,New code introduced July 2021,S90.9
UEC04DIA1121891000,11,21,89,Soft tissue inj / wound,Abrasion,Toe,Abrasion : toe,abrasion toe subungal haematoma soft tissue injury,211403009,1,0,1,1,0,0,1,New code introduced July 2021,S90.9
UEC04DIA1131111000,11,31,11,Soft tissue inj / wound,Bruise / contusion,Head,Bruise : head,bruise contusion head face soft tissue injury,735645009,1,0,1,1,0,0,1,New code introduced July 2021,S00.9
UEC04DIA1131131000,11,31,13,Soft tissue inj / wound,Bruise / contusion,Ear,Bruise : ear,bruise contusion pinna ear soft tissue injury,50228009,1,0,1,1,0,0,1,,S00.4
UEC04DIA1131151000,11,31,15,Soft tissue inj / wound,Bruise / contusion,Nose,Bruise : nose,bruise contusion nose soft tissue injury,60897004,1,0,1,1,0,0,1,,S00.3
UEC04DIA1131211000,11,31,21,Soft tissue inj / wound,Bruise / contusion,Lip,Bruise : lip,bruise contusion face head soft tissue injury,64458007,1,0,1,1,0,0,1,New code introduced July 2021,S00.5
UEC04DIA1131231000,11,31,23,Soft tissue inj / wound,Bruise / contusion,Mouth,Bruise : mouth,bruise contusion mouth tongue face head soft tissue injury,110250005,1,0,1,1,0,0,1,New code introduced July 2021,S00.5
UEC04DIA1131291000,11,31,29,Soft tissue inj / wound,Bruise / contusion,Face,Bruise : face,bruise contusion face head soft tissue injury cheek forehead chin,125668004,1,0,1,1,0,0,1,,S00.9
UEC04DIA1131311000,11,31,31,Soft tissue inj / wound,Bruise / contusion,Neck,Bruise : neck,bruise contusion neck throat whiplash head soft tissue injury neck vertebral,8513005,1,0,1,1,0,0,1,New code introduced July 2021,S10.9
UEC04DIA1131351000,11,31,35,Soft tissue inj / wound,Bruise / contusion,Chest,Bruise : chest,bruise contusion thorax back trunk soft tissue injury,10050004,1,0,1,1,0,0,1,New code introduced July 2021,S20.2
UEC04DIA1131371000,11,31,37,Soft tissue inj / wound,Bruise / contusion,Back,Bruise : back,bruise contusion back thorax trunk soft tissue injury,11437003,1,0,1,1,0,0,1,New code introduced July 2021,S20.4
UEC04DIA1131411000,11,31,41,Soft tissue inj / wound,Bruise / contusion,Abdomen,Bruise : abdomen,bruise contusion abdomen trunk soft tissue injury,37907001,1,0,1,1,0,0,1,New code introduced July 2021,S30.1
UEC04DIA1131451000,11,31,45,Soft tissue inj / wound,Bruise / contusion,Genitals,Bruise : genitals,bruise contusion pelvic groin perineum penis vagina vulva testes balls testis soft tissue injury,211495007,1,0,1,1,0,0,1,New code introduced July 2021,S30.2
UEC04DIA1131471000,11,31,47,Soft tissue inj / wound,Bruise / contusion,Pelvic region,Bruise : pelvic region,bruise contusion pelvic groin perineum penis vagina vulva testes balls testis soft tissue injury,283137007,1,0,1,1,0,0,1,New code introduced July 2021,S30.0
UEC04DIA1131511000,11,31,51,Soft tissue inj / wound,Bruise / contusion,Shoulder,Bruise : shoulder,bruise contusion shoulder neck thorax trunk soft tissue injury,40257000,1,0,1,1,0,0,1,New code introduced July 2021,S40.0
UEC04DIA1131531000,11,31,53,Soft tissue inj / wound,Bruise / contusion,Upper arm,Bruise : upper arm,bruise contusion upper arm soft tissue injury,85636003,1,0,1,1,0,0,1,New code introduced July 2021,S40.0
UEC04DIA1131551000,11,31,55,Soft tissue inj / wound,Bruise / contusion,Elbow,Bruise : elbow,bruise contusion elbow olecranon soft tissue injury,91613004,1,0,1,1,0,0,1,New code introduced July 2021,S50.0
UEC04DIA1131571000,11,31,57,Soft tissue inj / wound,Bruise / contusion,Forearm,Bruise : forearm,bruise contusion forearm arm soft tissue injury,39812007,1,0,1,1,0,0,1,New code introduced July 2021,S50.1
UEC04DIA1131591000,11,31,59,Soft tissue inj / wound,Bruise / contusion,Wrist,Bruise : wrist,bruise contusion hand wrist soft tissue injury,48123002,1,0,1,1,0,0,1,New code introduced July 2021,S60.2
UEC04DIA1131611000,11,31,61,Soft tissue inj / wound,Bruise / contusion,Hand,Bruise : hand,bruise contusion hand wrist soft tissue injury,5662003,1,0,1,1,0,0,1,New code introduced July 2021,S60.2
UEC04DIA1131641000,11,31,64,Soft tissue inj / wound,Bruise / contusion,Thumb,Bruise : thumb,bruise contusion thumb soft tissue injury,76437000,1,0,1,1,0,0,1,New code introduced July 2021,S60.0
UEC04DIA1131681000,11,31,68,Soft tissue inj / wound,Bruise / contusion,Finger,Bruise : finger,bruise contusion finger soft tissue injury,69787006,1,0,1,1,0,0,1,New code introduced July 2021,S60.0
UEC04DIA1131751000,11,31,75,Soft tissue inj / wound,Bruise / contusion,Upper leg,Bruise : upper leg,bruise contusion thigh soft tissue injury,84416003,1,0,1,1,0,0,1,New code introduced July 2021,S70.1
UEC04DIA1131791000,11,31,79,Soft tissue inj / wound,Bruise / contusion,Knee,Bruise : knee,bruise contusion knee soft tissue injury,22878006,1,0,1,1,0,0,1,New code introduced July 2021,S80.0
UEC04DIA1131831000,11,31,83,Soft tissue inj / wound,Bruise / contusion,Lower leg,Bruise : lower leg,bruise contusion lower leg soft tissue injury,45613006,1,0,1,1,0,0,1,New code introduced July 2021,S80.1
UEC04DIA1131851000,11,31,85,Soft tissue inj / wound,Bruise / contusion,Ankle,Bruise : ankle,bruise contusion ankle foot soft tissue injury,55042009,1,0,1,1,0,0,1,New code introduced July 2021,S90.0
UEC04DIA1131871000,11,31,87,Soft tissue inj / wound,Bruise / contusion,Foot,Bruise : foot,bruise contusion foot ankle sprain toe soft tissue injury,74814004,1,0,1,1,0,0,1,New code introduced July 2021,S90.3
UEC04DIA1131891000,11,31,89,Soft tissue inj / wound,Bruise / contusion,Toe,Bruise : toe,bruise contusion toe subungal haematoma soft tissue injury,58075000,1,0,1,1,0,0,1,New code introduced July 2021,S90.1
UEC04DIA1135111000,11,35,11,Soft tissue inj / wound,Haematoma,Nose (septal),Haematoma : nose,haematoma hematoma bruise contusion nose soft tissue injury nasal septum,232377002,1,0,1,1,0,0,1,New code introduced July 2021,S00.3
UEC04DIA1135691000,11,35,69,Soft tissue inj / wound,Haematoma,Subungual (finger),Haematoma : subungual (finger),haematoma hematoma bruise contusion finger subungual soft tissue injury,274202000,1,0,1,1,0,0,1,New code introduced July 2021,S60.1
UEC04DIA1135911000,11,35,91,Soft tissue inj / wound,Haematoma,Subungual (toe),Haematoma : subungual (toe),haematoma hematoma bruise contusion toe subungual soft tissue injury,274203005,1,0,1,1,0,0,1,New code introduced July 2021,S90.2
UEC04DIA1145111000,11,45,11,Soft tissue inj / wound,Sprain / ligament injury,Cervical spine,Sprain / ligament injury : cervical spine,sprain ligament neck spine cervical whiplash soft tissue injury neck vertebral,209557005,1,0,1,1,0,0,1,,S13.4
UEC04DIA1145121000,11,45,12,Soft tissue inj / wound,Sprain / ligament injury,Thoracic spine,Sprain / ligament injury : thoracic spine,sprain ligament injury thoracic spine lumbago back pain vertebral,274162005,1,0,1,1,0,0,1,,S23.3
UEC04DIA1145131000,11,45,13,Soft tissue inj / wound,Sprain / ligament injury,Lumbar spine,Sprain / ligament injury : lumbar spine,sprain ligament injury lumbar spine lumbago back pain sciatica vertebral,209565008,1,0,1,1,0,0,1,,S33.5
UEC04DIA1145311000,11,45,31,Soft tissue inj / wound,Sprain / ligament injury,Shoulder joint,Sprain / ligament injury : shoulder joint,sprain ligament injury shoulder joint clavicle scapula rotator cuff humerus,3199001,1,0,1,1,0,0,1,,S43.4
UEC04DIA1145331000,11,45,33,Soft tissue inj / wound,Sprain / ligament injury,Acromioclavicular joint,Sprain / ligament injury : acromioclavicular joint,sprain ligament injury shoulder joint clavicle acromion acromioclavicular,27182002,1,0,1,1,0,0,1,New code introduced July 2021,S43.5
UEC04DIA1145371000,11,45,37,Soft tissue inj / wound,Sprain / ligament injury,Elbow joint,Sprain / ligament injury : elbow joint,sprain ligament injury elbow joint ulna humerus radius radial olecranon,263128001,1,0,1,1,0,0,1,,S53.4
UEC04DIA1145411000,11,45,41,Soft tissue inj / wound,Sprain / ligament injury,Wrist joint (inc scapholunate),Sprain / ligament injury : wrist joint,sprain ligament injury wrist joint colles smiths,70704007,1,0,1,1,0,0,1,,S63.5
UEC04DIA1145451000,11,45,45,Soft tissue inj / wound,Sprain / ligament injury,Hand,Sprain / ligament injury : hand,sprain ligament injury hand thumb finger digit,87778004,1,0,1,1,0,0,1,,S63.7
UEC04DIA1145471000,11,45,47,Soft tissue inj / wound,Sprain / ligament injury,Thumb,Sprain / ligament injury : thumb,sprain ligament injury thumb finger hand digit,263130004,1,0,1,1,0,0,1,,S63.6
UEC04DIA1145481000,11,45,48,Soft tissue inj / wound,Sprain / ligament injury,Volar plate injury of finger,Volar plate injury of finger,Volar plate injury finger,263125003,1,0,1,1,0,0,1,New code introduced April 2022,S63.4
UEC04DIA1145491000,11,45,49,Soft tissue inj / wound,Sprain / ligament injury,Finger,Sprain / ligament injury : finger,sprain ligament injury finger thumb hand digit ring index middle little,263129009,1,0,1,1,0,0,1,,S63.6
UEC04DIA1145511000,11,45,51,Soft tissue inj / wound,Sprain / ligament injury,Hip joint,Sprain / ligament injury : hip joint,sprain ligament injury hip joint pelvis trochanter buttock,17883008,1,0,1,1,0,0,1,,S73.1
UEC04DIA1145531000,11,45,53,Soft tissue inj / wound,Sprain / ligament injury,Knee joint,Sprain / ligament injury : knee joint,sprain ligament injury knee joint patella condyle tibia femur kneecap,54888009,1,0,1,1,0,0,1,,S83.6
UEC04DIA1145551000,11,45,55,Soft tissue inj / wound,Sprain / ligament injury,Ankle joint,Sprain / ligament injury : ankle joint,sprained ligament injury ankle joint twisted malleolus deltoid talofibular calcaneofibular fibula calcaneum tibia talus achilles,44465007,1,0,1,1,0,0,1,,S93.4
UEC04DIA1145571000,11,45,57,Soft tissue inj / wound,Sprain / ligament injury,Foot (inc. Lisfranc),Sprain / ligament injury : foot,sprain ligament injury foot toe arch flat lisfranc,49388007,1,0,1,1,0,0,1,,S93.6
UEC04DIA1145591000,11,45,59,Soft tissue inj / wound,Sprain / ligament injury,Toe,Sprain / ligament injury : toe,sprain ligament injury foot toe big,24864009,1,0,1,1,0,0,1,Replacement code introduced Oct 2020,S93.5
UEC04DIA1151111000,11,51,11,Soft tissue inj / wound,Tendon injury,Shoulder joint,Tendon injury : shoulder joint,tendon injury shoulder joint painful arc,813331000000101,1,0,1,1,0,0,1,,S46.9
UEC04DIA1151211000,11,51,21,Soft tissue inj / wound,Tendon injury,Biceps rupture,Tendon rupture : biceps,tendon injury biceps joint arm,428883008,1,0,1,1,0,0,1,,S46.1
UEC04DIA1151231000,11,51,23,Soft tissue inj / wound,Tendon injury,Elbow joint,Tendon injury : elbow joint,tendon injury elbow joint arm,813101000000105,1,0,1,1,0,0,1,,S56.8
UEC04DIA1151251000,11,51,25,Soft tissue inj / wound,Tendon injury,Wrist joint,Tendon injury : wrist joint,tendon injury wrist joint hand,813111000000107,1,0,1,1,0,0,1,,S66.9
UEC04DIA1151311000,11,51,31,Soft tissue inj / wound,Tendon injury,Hand,Tendon injury : hand,tendon injury hand finger digit,262971000,1,0,1,1,0,0,1,,S66.9
UEC04DIA1151411000,11,51,41,Soft tissue inj / wound,Tendon injury,Thumb,Tendon injury : thumb,tendon injury thumb finger digit,813231000000107,1,0,1,1,0,0,1,,S66.9
UEC04DIA1151451000,11,51,45,Soft tissue inj / wound,Tendon injury,Finger,Tendon injury : finger,tendon injury finger digit ring middle index little hand,813121000000101,1,0,1,1,0,0,1,,S66.9
UEC04DIA1151511000,11,51,51,Soft tissue inj / wound,Tendon injury,Quadriceps tendon rupture,Tendon rupture : quadriceps tendon,tendon injury patellar rupture tendon dislocation dislocated knee quadriceps,6849006,1,0,1,1,0,0,1,,S76.1
UEC04DIA1151531000,11,51,53,Soft tissue inj / wound,Tendon injury,Patellar tendon injury,Tendon injury : patellar tendon,tendon injury patellar tendon dislocation dislocated knee,209508007,1,0,1,1,0,0,1,,S76.1
UEC04DIA1151541000,11,51,54,Soft tissue inj / wound,Tendon injury,Patellar tendon rupture,Tendon rupture : patellar tendon,tendon injury patellar rupture tendon dislocation dislocated knee,30832001,1,0,1,1,0,0,1,,S76.1
UEC04DIA1151561000,11,51,56,Soft tissue inj / wound,Tendon injury,Achilles tendon injury,Tendon injury : achilles tendon,tendon injury achilles tendon ankle,22817005,1,0,1,1,0,0,1,,S86.0
UEC04DIA1151571000,11,51,57,Soft tissue inj / wound,Tendon injury,Achilles tendon rupture,Tendon rupture : achilles tendon,tendon injury achilles tendon ankle,429513001,1,0,1,1,0,0,1,,S86.0
UEC04DIA1151591000,11,51,59,Soft tissue inj / wound,Tendon injury,Ankle,Tendon injury : ankle,tendon injury ankle foot,828981000000104,1,0,1,1,0,0,1,,S96.9
UEC04DIA1151611000,11,51,61,Soft tissue inj / wound,Tendon injury,Foot,Tendon injury : foot,tendon injury foot toe,813311000000109,1,0,1,1,0,0,1,,S96.9
UEC04DIA1151711000,11,51,71,Soft tissue inj / wound,Tendon injury,Toe,Tendon injury : toe,tendon injury toe foot,813321000000103,1,0,1,1,0,0,1,,S96.9
UEC04DIA1155111000,11,55,11,Soft tissue inj / wound,Muscle injury,Neck,Muscle injury : neck,whiplash muscle neck injury cervical strain,725013009,1,0,1,1,0,0,1,Code introduced as replacement for previous code as part of Terminology and Clinical Lead review.,S16
UEC04DIA1155211000,11,55,21,Soft tissue inj / wound,Muscle injury,Chest wall,Muscle injury : chest wall,muscle injury upper back soft tissue injury chest pain wall costochondritis,724880008,1,0,1,1,0,0,1,New code introduced July 2021,S29.7
UEC04DIA1155221000,11,55,22,Soft tissue inj / wound,Muscle injury,Abdominal wall,Muscle injury : abdominal wall,muscle injury upper back soft tissue injury chest pain wall costochondritis,285348005,1,0,1,1,0,0,1,New code introduced July 2021,S39.0
UEC04DIA1155251000,11,55,25,Soft tissue inj / wound,Muscle injury,Upper back,Muscle injury : upper back,muscle injury upper back soft tissue injury,812501000000108,1,0,1,1,0,0,1,,S29.0
UEC04DIA1155271000,11,55,27,Soft tissue inj / wound,Muscle injury,Lower back,Muscle injury : lower back,muscle injury lower back lumbago pain mechanical soft tissue injury,737254001,1,0,1,1,0,0,1,,S39.0
UEC04DIA1155311000,11,55,31,Soft tissue inj / wound,Muscle injury,Shoulder,Muscle injury : shoulder,muscle injury shoulder soft tissue injury,724905004,1,0,1,1,0,0,1,,S46.9
UEC04DIA1155321000,11,55,32,Soft tissue inj / wound,Muscle injury,Upper arm,Muscle injury : upper arm,muscle injury upper arm soft tissue injury,724908002,1,0,1,1,0,0,1,,S46.9
UEC04DIA1155331000,11,55,33,Soft tissue inj / wound,Muscle injury,Forearm,Muscle injury : forearm,muscle injury forearm soft tissue injury,724940003,1,0,1,1,0,0,1,,S56.8
UEC04DIA1155341000,11,55,34,Soft tissue inj / wound,Muscle injury,Hand,Muscle injury : hand,muscle injury hand soft tissue injury,812721000000109,1,0,1,1,0,0,1,,S66.9
UEC04DIA1155611000,11,55,61,Soft tissue inj / wound,Muscle injury,Buttock,Muscle injury : buttock,muscle injury thigh soft tissue injury,737255000,1,0,1,1,0,0,1,New code introduced July 2021,S39.0
UEC04DIA1155631000,11,55,63,Soft tissue inj / wound,Muscle injury,Upper leg,Muscle injury : upper leg,muscle injury thigh soft tissue injury,812741000000102,1,0,1,1,0,0,1,,S76.4
UEC04DIA1155651000,11,55,65,Soft tissue inj / wound,Muscle injury,Lower leg,Muscle injury : lower leg,muscle injury lower leg soft tissue injury,880083009,1,0,1,1,0,0,1,Replacement code introduced Oct 2020,S86.9
UEC04DIA1155681000,11,55,68,Soft tissue inj / wound,Muscle injury,Foot,Muscle injury : foot,muscle injury foot soft tissue injury,812761000000101,1,0,1,1,0,0,1,,S96.9
UEC04DIA1161111000,11,61,11,Soft tissue inj / wound,Crush injury,Head,Crush injury : head,crush injury head,262576002,1,0,1,1,0,0,1,,S07.9
UEC04DIA1161151000,11,61,15,Soft tissue inj / wound,Crush injury,Face,Crush injury : face,crush injury face,90465004,1,0,1,1,0,0,1,,S07.0
UEC04DIA1161191000,11,61,19,Soft tissue inj / wound,Crush injury,Traumatic asphyxiation,Traumatic asphyxiation,trauma asphyxiation strangle strangling hanging hanged traumatic obstruction breathing,386732003,1,0,1,1,0,0,1,,T71
UEC04DIA1161211000,11,61,21,Soft tissue inj / wound,Crush injury,Neck,Crush injury : neck,crush injury neck,50001009,1,0,1,1,0,0,1,,S17.9
UEC04DIA1161311000,11,61,31,Soft tissue inj / wound,Crush injury,Thorax,Crush injury : thorax,crush injury thorax chest,33847006,1,0,1,1,0,0,1,,S28.0
